engagement_id,campaign_id,advisor_id,opened_email,attended_event,downloaded_materials,requested_followup,scheduled_meeting,engagement_score
E000061,C002,A0029,1,1,0,0,0,33
E000062,C002,A0254,0,0,0,0,0,7
E000063,C002,A0282,0,0,0,0,0,7
E000064,C002,A0209,1,1,0,1,0,56
E000065,C002,A0201,1,1,1,0,0,61
E000066,C002,A0007,1,1,1,1,0,89
E000067,C002,A0132,0,0,0,0,0,0
E000068,C002,A0080,1,0,0,0,0,7
E000069,C002,A0153,1,0,1,1,0,56
E000070,C002,A0178,1,0,1,0,0,32
E000071,C002,A0083,0,0,0,0,0,1
E000072,C002,A0146,1,1,0,0,0,29
E000073,C002,A0143,1,1,0,1,0,63
E000074,C002,A0327,1,1,0,0,0,30
E000075,C002,A0074,1,1,0,0,0,38
E000076,C002,A0217,1,0,0,0,0,16
E000077,C002,A0315,1,1,0,0,0,37
E000078,C002,A0206,1,0,0,0,0,4
E000079,C002,A0271,0,0,0,0,0,5
E000080,C002,A0048,1,0,0,0,0,3
E000081,C002,A0285,1,1,0,0,0,35
E000082,C002,A0394,1,1,0,0,0,36
E000083,C002,A0303,1,0,0,0,0,0
E000084,C002,A0165,0,0,0,0,0,0
E000085,C002,A0321,1,1,0,0,0,38
E000086,C002,A0033,1,1,1,0,0,55
E000087,C002,A0210,1,0,0,0,0,6
E000088,C002,A0214,1,1,0,0,0,26
E000089,C003,A0210,0,0,0,0,0,0
E000090,C003,A0056,0,0,0,0,0,0
E000091,C003,A0214,0,0,0,0,0,0
E000092,C003,A0061,0,0,0,0,0,10
E000093,C003,A0363,0,0,0,0,0,11
E000094,C003,A0335,1,0,0,0,0,14
E000095,C003,A0321,0,0,0,0,0,0
E000096,C003,A0178,0,0,0,0,0,8
E000097,C003,A0043,0,0,0,0,0,0
E000098,C003,A0144,1,0,1,0,0,34
E000099,C003,A0055,1,0,0,0,0,4
E000100,C003,A0035,0,0,0,0,0,0
E000101,C003,A0316,0,0,0,0,0,0
E000102,C003,A0066,0,0,0,0,0,0
E000103,C003,A0170,0,0,0,0,0,11
E000104,C003,A0201,1,0,0,0,0,11
E000105,C003,A0394,1,0,0,0,0,9
E000106,C003,A0192,1,0,0,0,0,10
E000107,C003,A0104,1,0,0,0,0,0
E000108,C003,A0083,0,0,0,0,0,3
E000109,C004,A0001,0,0,0,0,0,0
E000110,C004,A0065,0,0,0,0,0,2
E000111,C004,A0034,1,0,0,0,0,11
E000112,C004,A0218,0,0,0,0,0,5
E000113,C004,A0354,1,0,0,0,0,9
E000114,C004,A0093,1,0,0,0,0,3
E000115,C004,A0311,1,0,0,0,0,14
E000116,C004,A0089,0,0,0,0,0,0
E000117,C004,A0115,1,0,0,0,0,3
E000118,C004,A0119,1,0,1,0,0,33
E000119,C004,A0365,0,0,0,0,0,1
E000120,C004,A0319,0,0,0,0,0,2
E000121,C004,A0070,1,0,0,0,0,10
E000122,C004,A0330,0,0,0,0,0,0
E000123,C004,A0265,0,0,0,0,0,4
E000124,C004,A0021,0,0,0,0,0,0
E000125,C004,A0150,1,0,0,0,0,6
E000126,C004,A0264,0,0,0,0,0,0
E000127,C004,A0140,1,0,0,0,0,17
E000128,C004,A0199,0,0,0,0,0,0
E000129,C004,A0102,0,0,0,0,0,0
E000130,C004,A0222,1,0,0,0,0,0
E000131,C004,A0374,1,0,0,0,0,0
E000132,C004,A0044,0,0,0,0,0,7
E000133,C004,A0368,1,0,1,0,0,29
E000134,C004,A0263,1,0,0,0,0,12
E000135,C004,A0313,1,0,0,0,0,5
E000136,C004,A0361,0,0,0,0,0,0
E000137,C005,A0058,0,0,0,0,0,0
E000138,C005,A0261,1,0,0,0,0,0
E000139,C005,A0106,1,0,0,0,0,1
E000140,C005,A0346,1,0,1,0,0,17
E000141,C005,A0003,0,0,0,0,0,0
E000142,C005,A0267,1,0,0,0,0,8
E000143,C005,A0133,1,0,0,0,0,3
E000144,C005,A0185,0,0,0,0,0,1
E000145,C005,A0281,0,0,0,0,0,1
E000146,C005,A0154,1,0,1,0,0,27
E000147,C005,A0252,0,0,0,0,0,0
E000148,C005,A0168,1,0,0,0,0,10
E000149,C005,A0336,0,0,0,0,0,0
E000150,C005,A0276,0,0,0,0,0,10
E000151,C005,A0148,0,0,0,0,0,0
E000152,C005,A0280,0,0,0,0,0,6
E000153,C005,A0313,1,0,0,0,0,12
E000154,C005,A0326,0,0,0,0,0,0
E000155,C005,A0032,0,0,0,0,0,0
E000156,C005,A0310,1,0,0,0,0,15
E000157,C005,A0237,1,0,0,0,0,13
E000158,C005,A0011,1,0,0,0,0,13
E000159,C005,A0095,0,0,0,0,0,0
E000160,C005,A0308,0,0,0,0,0,4
E000161,C005,A0270,0,0,0,0,0,3
E000162,C005,A0097,0,0,0,0,0,9
E000163,C005,A0330,0,0,0,0,0,0
E000164,C005,A0211,0,0,0,0,0,1
E000165,C005,A0246,1,0,0,0,0,1
E000166,C005,A0385,0,0,0,0,0,10
E000167,C005,A0021,0,0,0,0,0,2
E000168,C005,A0078,1,0,0,0,0,0
E000169,C005,A0071,1,0,1,0,0,27
E000170,C005,A0137,0,0,0,0,0,0
E000171,C005,A0147,0,0,0,0,0,0
E000172,C005,A0328,0,0,0,0,0,13
E000173,C005,A0167,0,0,0,0,0,0
E000174,C005,A0108,0,0,0,0,0,0
E000175,C005,A0127,0,0,0,0,0,0
E000176,C005,A0015,1,0,1,0,0,22
E000177,C005,A0334,0,0,0,0,0,0
E000178,C005,A0366,1,0,0,0,0,14
E000179,C005,A0099,1,0,0,0,0,2
E000180,C005,A0331,1,0,0,0,0,9
E000181,C005,A0034,0,0,0,0,0,4
E000182,C005,A0306,0,0,0,0,0,9
E000183,C005,A0373,0,0,0,0,0,0
E000184,C005,A0253,1,0,0,0,0,11
E000185,C005,A0176,1,0,0,0,0,15
E000186,C005,A0119,1,0,1,0,0,29
E000187,C005,A0031,1,0,0,0,0,3
E000188,C005,A0275,1,0,0,0,0,9
E000189,C005,A0204,0,0,0,0,0,3
E000190,C005,A0045,1,0,1,0,0,30
E000191,C005,A0101,0,0,0,0,0,0
E000192,C005,A0288,1,0,0,0,0,9
E000193,C005,A0188,1,0,0,0,0,11
E000194,C005,A0239,0,0,0,0,0,5
E000195,C005,A0393,0,0,0,0,0,0
E000196,C005,A0304,0,0,0,0,0,0
E000197,C005,A0399,0,0,0,0,0,0
E000198,C005,A0268,0,0,0,0,0,5
E000199,C005,A0384,0,0,0,0,0,0
E000200,C005,A0159,0,0,0,0,0,0
E000201,C005,A0158,0,0,0,0,0,0
E000202,C005,A0263,0,0,0,0,0,5
E000203,C005,A0338,0,0,0,0,0,0
E000204,C005,A0218,0,0,0,0,0,0
E000205,C005,A0290,1,0,0,0,0,7
E000206,C005,A0091,0,0,0,0,0,3
E000207,C005,A0249,1,0,0,0,0,14
E000208,C005,A0266,1,0,1,1,0,64
E000209,C005,A0226,0,0,0,0,0,8
E000210,C005,A0038,0,0,0,0,0,0
E000211,C005,A0098,1,0,0,0,0,0
E000212,C005,A0023,0,0,0,0,0,6
E000213,C005,A0047,0,0,0,0,0,0
E000214,C005,A0125,0,0,0,0,0,0
E000215,C005,A0350,0,0,0,0,0,6
E000216,C005,A0019,0,0,0,0,0,8
E000217,C005,A0355,0,0,0,0,0,0
E000218,C005,A0184,0,0,0,0,0,4
E000219,C005,A0002,0,0,0,0,0,6
E000220,C005,A0189,0,0,0,0,0,7
E000221,C005,A0284,0,0,0,0,0,0
E000222,C005,A0312,0,0,0,0,0,0
E000223,C005,A0046,0,0,0,0,0,0
E000224,C005,A0166,0,0,0,0,0,3
E000225,C005,A0398,0,0,0,0,0,9
E000226,C005,A0092,1,0,0,0,0,6
E000227,C005,A0376,1,0,0,0,0,18
E000228,C005,A0122,1,0,0,0,0,4
E000229,C005,A0094,0,0,0,0,0,0
E000230,C005,A0169,0,0,0,0,0,0
E000231,C005,A0236,0,0,0,0,0,0
E000232,C005,A0111,1,0,0,0,0,15
E000233,C005,A0028,0,0,0,0,0,2
E000234,C005,A0227,0,0,0,0,0,0
E000235,C005,A0090,0,0,0,0,0,18
E000236,C005,A0114,1,0,1,0,0,31
E000237,C005,A0076,0,0,0,0,0,3
E000238,C005,A0082,1,0,0,0,0,15
E000239,C005,A0042,0,0,0,0,0,4
E000240,C005,A0272,0,0,0,0,0,14
E000241,C005,A0112,0,0,0,0,0,0
E000242,C005,A0294,0,0,0,0,0,0
E000243,C005,A0208,0,0,0,0,0,9
E000244,C005,A0081,0,0,0,0,0,0
E000245,C005,A0163,0,0,0,0,0,0
E000246,C005,A0359,0,0,0,0,0,10
E000247,C005,A0156,0,0,0,0,0,0
E000248,C005,A0088,0,0,0,0,0,0
E000249,C005,A0155,1,0,0,0,0,6
E000250,C005,A0392,0,0,0,0,0,0
E000251,C005,A0324,0,0,0,0,0,0
E000252,C006,A0088,1,1,0,0,0,36
E000253,C006,A0299,1,0,0,0,0,15
E000254,C006,A0163,1,1,0,1,0,61
E000255,C006,A0052,1,0,0,0,0,4
E000256,C006,A0103,0,0,0,0,0,2
E000257,C006,A0096,1,1,0,1,0,58
E000258,C006,A0172,1,0,0,0,0,17
E000259,C006,A0220,1,0,0,0,0,0
E000260,C006,A0130,1,1,0,0,0,31
E000261,C006,A0176,1,1,0,0,0,33
E000262,C006,A0114,1,0,1,0,0,32
E000263,C006,A0059,1,0,0,0,0,14
E000264,C006,A0270,1,0,0,0,0,18
E000265,C006,A0205,1,1,0,0,0,26
E000266,C006,A0347,1,1,1,0,0,50
E000267,C006,A0294,0,0,0,0,0,8
E000268,C006,A0098,1,1,0,1,0,56
E000269,C006,A0166,1,1,1,1,0,77
E000270,C006,A0120,0,0,0,0,0,0
E000271,C006,A0027,1,1,0,0,0,43
E000272,C006,A0253,1,1,0,1,1,64
E000273,C006,A0031,1,1,0,1,0,65
E000274,C006,A0328,1,0,0,0,0,2
E000275,C006,A0112,0,0,0,0,0,0
E000276,C006,A0133,1,0,0,0,0,8
E000277,C006,A0063,0,0,0,0,0,9
E000278,C006,A0198,1,1,1,0,0,68
E000279,C006,A0149,1,1,0,0,0,30
E000280,C006,A0323,1,0,1,0,0,30
E000281,C006,A0274,1,0,0,0,0,3
E000282,C006,A0169,1,1,1,0,0,47
E000283,C006,A0123,0,0,0,0,0,0
E000284,C006,A0266,0,0,0,0,0,0
E000285,C006,A0009,1,1,1,1,1,100
E000286,C006,A0138,1,1,1,1,1,93
E000287,C006,A0225,0,0,0,0,0,2
E000288,C006,A0320,0,0,0,0,0,1
E000289,C006,A0186,1,0,0,0,0,14
E000290,C006,A0400,1,1,1,0,0,53
E000291,C006,A0003,0,0,0,0,0,11
E000292,C006,A0355,1,0,0,0,0,10
E000293,C006,A0304,0,0,0,0,0,0
E000294,C006,A0232,1,1,0,1,0,51
E000295,C006,A0208,0,0,0,0,0,0
E000296,C006,A0372,1,0,0,0,0,1
E000297,C006,A0260,0,0,0,0,0,0
E000298,C007,A0287,0,0,0,0,0,1
E000299,C007,A0336,0,0,0,0,0,4
E000300,C007,A0320,1,0,0,0,0,14
E000301,C007,A0116,1,1,1,0,0,42
E000302,C007,A0179,0,0,0,0,0,0
E000303,C007,A0040,1,0,0,0,0,10
E000304,C007,A0400,1,0,1,0,0,25
E000305,C007,A0245,1,1,0,0,0,41
E000306,C007,A0262,1,1,1,1,0,81
E000307,C007,A0190,1,1,1,0,0,45
E000308,C007,A0299,1,1,1,0,0,49
E000309,C007,A0376,1,0,1,1,0,51
E000310,C007,A0281,1,1,0,1,0,62
E000311,C007,A0166,1,1,1,0,0,49
E000312,C007,A0169,1,1,0,0,0,47
E000313,C007,A0156,1,0,0,0,0,10
E000314,C007,A0215,1,1,1,0,0,61
E000315,C007,A0052,0,0,0,0,0,0
E000316,C007,A0123,1,1,0,0,0,32
E000317,C007,A0382,0,0,0,0,0,0
E000318,C007,A0331,0,0,0,0,0,2
E000319,C007,A0334,0,0,0,0,0,0
E000320,C007,A0176,1,1,0,0,0,34
E000321,C007,A0113,0,0,0,0,0,3
E000322,C007,A0386,1,0,0,0,0,10
E000323,C007,A0058,1,0,1,1,1,73
E000324,C007,A0236,1,0,0,0,0,1
E000325,C007,A0216,0,0,0,0,0,9
E000326,C007,A0027,1,0,1,1,1,65
E000327,C007,A0099,1,1,0,0,0,36
E000328,C007,A0049,1,0,0,0,0,3
E000329,C007,A0073,1,0,0,0,0,9
E000330,C007,A0024,1,1,1,0,0,62
E000331,C007,A0198,1,0,0,0,0,5
E000332,C007,A0350,1,0,0,0,0,0
E000333,C007,A0234,1,1,0,1,1,80
E000334,C007,A0009,0,0,0,0,0,1
E000335,C007,A0114,1,0,1,1,0,50
E000336,C008,A0356,1,1,1,1,0,77
E000337,C008,A0368,1,0,1,1,0,52
E000338,C008,A0186,1,0,1,0,0,25
E000339,C008,A0172,1,1,1,0,0,58
E000340,C008,A0344,0,0,0,0,0,0
E000341,C008,A0039,1,1,0,1,0,64
E000342,C008,A0360,1,0,1,0,0,27
E000343,C008,A0273,1,0,1,0,0,20
E000344,C008,A0257,1,0,1,0,0,26
E000345,C008,A0128,1,1,0,0,0,36
E000346,C008,A0374,1,0,1,0,0,34
E000347,C008,A0292,0,0,0,0,0,4
E000348,C008,A0242,1,0,0,0,0,0
E000349,C008,A0021,1,1,1,0,0,48
E000350,C008,A0311,1,1,0,0,0,32
E000351,C008,A0166,1,1,1,1,0,82
E000352,C008,A0116,1,0,0,0,0,16
E000353,C008,A0362,1,0,0,0,0,8
E000354,C008,A0398,0,0,0,0,0,2
E000355,C008,A0109,1,1,1,1,0,80
E000356,C008,A0331,1,1,0,1,0,59
E000357,C008,A0008,0,0,0,0,0,9
E000358,C008,A0064,0,0,0,0,0,9
E000359,C008,A0396,1,0,0,0,0,10
E000360,C008,A0258,1,1,0,0,0,24
E000361,C008,A0290,1,0,0,0,0,0
E000362,C008,A0134,0,0,0,0,0,0
E000363,C008,A0182,0,0,0,0,0,5
E000364,C008,A0329,0,0,0,0,0,4
E000365,C008,A0296,0,0,0,0,0,0
E000366,C008,A0198,1,0,1,0,0,28
E000367,C008,A0131,1,0,0,0,0,13
E000368,C008,A0031,0,0,0,0,0,5
E000369,C008,A0227,1,1,0,1,0,58
E000370,C008,A0268,0,0,0,0,0,0
E000371,C008,A0352,1,1,1,0,0,61
E000372,C008,A0252,0,0,0,0,0,0
E000373,C008,A0218,1,1,1,1,0,79
E000374,C008,A0091,1,0,1,0,0,38
E000375,C008,A0042,0,0,0,0,0,6
E000376,C008,A0236,1,0,1,1,0,54
E000377,C008,A0018,0,0,0,0,0,0
E000378,C008,A0073,1,1,1,0,0,52
E000379,C008,A0057,1,1,0,0,0,38
E000380,C008,A0087,1,0,0,0,0,5
E000381,C008,A0202,1,0,0,0,0,15
E000382,C008,A0113,1,1,1,0,0,39
E000383,C008,A0385,0,0,0,0,0,13
E000384,C008,A0110,0,0,0,0,0,1
E000385,C008,A0263,1,1,0,1,0,60
E000386,C008,A0044,0,0,0,0,0,0
E000387,C008,A0185,1,0,1,1,0,52
E000388,C008,A0002,0,0,0,0,0,0
E000389,C008,A0184,1,0,0,0,0,4
E000390,C008,A0354,1,0,0,0,0,0
E000391,C008,A0140,1,0,1,0,0,19
E000392,C008,A0158,1,0,1,1,0,60
E000393,C008,A0027,1,0,0,0,0,5
E000394,C008,A0216,1,0,1,1,1,73
E000395,C008,A0253,1,1,1,0,0,62
E000396,C008,A0015,0,0,0,0,0,1
E000397,C008,A0197,1,0,1,0,0,29
E000398,C008,A0357,1,1,0,1,0,64
E000399,C008,A0221,0,0,0,0,0,2
E000400,C008,A0235,1,0,0,0,0,2
E000401,C008,A0400,0,0,0,0,0,8
E000402,C008,A0085,1,1,0,0,0,25
E000403,C008,A0304,1,1,0,0,0,22
E000404,C008,A0108,1,0,1,0,0,28
E000405,C008,A0266,1,0,1,1,1,82
E000406,C008,A0222,1,0,0,0,0,14
E000407,C008,A0312,0,0,0,0,0,0
E000408,C008,A0339,1,0,1,1,0,59
E000409,C008,A0120,1,0,0,0,0,8
E000410,C008,A0373,0,0,0,0,0,1
E000411,C008,A0059,0,0,0,0,0,0
E000412,C008,A0096,0,0,0,0,0,0
E000413,C008,A0342,0,0,0,0,0,0
E000414,C009,A0299,1,0,1,0,0,22
E000415,C009,A0149,1,0,0,0,0,20
E000416,C009,A0027,0,0,0,0,0,0
E000417,C009,A0156,0,0,0,0,0,0
E000418,C009,A0103,0,0,0,0,0,2
E000419,C009,A0155,0,0,0,0,0,0
E000420,C009,A0018,0,0,0,0,0,0
E000421,C009,A0058,1,0,1,1,0,58
E000422,C009,A0400,0,0,0,0,0,0
E000423,C009,A0129,1,0,0,0,0,4
E000424,C009,A0211,1,0,0,0,0,4
E000425,C009,A0399,0,0,0,0,0,0
E000426,C009,A0052,0,0,0,0,0,0
E000427,C009,A0177,0,0,0,0,0,0
E000428,C009,A0320,0,0,0,0,0,0
E000429,C009,A0163,0,0,0,0,0,0
E000430,C009,A0219,0,0,0,0,0,3
E000431,C009,A0186,0,0,0,0,0,3
E000432,C009,A0113,0,0,0,0,0,3
E000433,C009,A0205,0,0,0,0,0,4
E000434,C010,A0372,1,1,0,0,0,17
E000435,C010,A0367,0,0,0,0,0,6
E000436,C010,A0237,0,0,0,0,0,0
E000437,C010,A0393,0,0,0,0,0,0
E000438,C010,A0194,1,0,1,0,0,28
E000439,C010,A0128,0,0,0,0,0,0
E000440,C010,A0095,1,0,1,1,0,58
E000441,C010,A0111,1,0,0,0,0,9
E000442,C010,A0050,0,0,0,0,0,0
E000443,C010,A0189,1,0,0,0,0,6
E000444,C010,A0290,0,0,0,0,0,8
E000445,C010,A0168,0,0,0,0,0,3
E000446,C010,A0368,0,0,0,0,0,5
E000447,C010,A0179,0,0,0,0,0,1
E000448,C010,A0160,0,0,0,0,0,9
E000449,C010,A0229,1,0,0,0,0,8
E000450,C010,A0112,1,0,0,0,0,10
E000451,C010,A0243,0,0,0,0,0,0
E000452,C010,A0352,1,0,0,0,0,13
E000453,C010,A0359,1,0,0,0,0,3
E000454,C011,A0301,1,1,1,1,0,82
E000455,C011,A0393,1,0,0,0,0,8
E000456,C011,A0190,1,0,0,0,0,11
E000457,C011,A0233,1,0,1,0,0,28
E000458,C011,A0261,1,1,0,0,0,27
E000459,C011,A0358,1,0,1,0,0,34
E000460,C011,A0297,1,1,1,0,0,48
E000461,C011,A0196,0,0,0,0,0,4
E000462,C011,A0177,0,0,0,0,0,0
E000463,C011,A0228,1,0,1,1,1,84
E000464,C011,A0198,0,0,0,0,0,0
E000465,C011,A0161,1,1,1,0,0,64
E000466,C011,A0377,1,0,1,1,0,49
E000467,C011,A0043,0,0,0,0,0,1
E000468,C011,A0067,0,0,0,0,0,0
E000469,C011,A0398,1,1,1,0,0,47
E000470,C011,A0013,1,0,0,0,0,11
E000471,C011,A0158,1,0,1,1,0,50
E000472,C011,A0015,1,0,0,0,0,10
E000473,C011,A0115,0,0,0,0,0,5
E000474,C011,A0021,1,0,1,0,0,21
E000475,C011,A0173,1,0,1,1,0,57
E000476,C011,A0389,0,0,0,0,0,0
E000477,C011,A0230,1,0,0,0,0,22
E000478,C011,A0204,0,0,0,0,0,2
E000479,C011,A0038,1,0,1,0,0,25
E000480,C011,A0231,0,0,0,0,0,2
E000481,C011,A0037,1,0,1,0,0,33
E000482,C011,A0152,0,0,0,0,0,0
E000483,C011,A0214,1,0,1,0,0,29
E000484,C011,A0129,1,0,1,0,0,34
E000485,C011,A0046,1,1,1,0,0,69
E000486,C011,A0294,1,1,1,1,0,68
E000487,C011,A0003,1,0,0,0,0,14
E000488,C011,A0379,1,1,0,0,0,41
E000489,C011,A0138,1,0,1,1,0,59
E000490,C011,A0106,0,0,0,0,0,4
E000491,C011,A0089,1,1,0,0,0,30
E000492,C011,A0298,0,0,0,0,0,0
E000493,C011,A0024,1,0,1,0,0,35
E000494,C011,A0249,0,0,0,0,0,2
E000495,C011,A0310,1,0,1,0,0,26
E000496,C011,A0281,1,0,1,1,0,58
E000497,C011,A0093,1,0,1,1,0,42
E000498,C011,A0232,0,0,0,0,0,0
E000499,C011,A0201,0,0,0,0,0,4
E000500,C011,A0116,0,0,0,0,0,9
E000501,C011,A0378,0,0,0,0,0,3
E000502,C011,A0321,0,0,0,0,0,0
E000503,C011,A0235,0,0,0,0,0,0
E000504,C011,A0001,0,0,0,0,0,0
E000505,C011,A0130,1,0,1,1,0,50
E000506,C011,A0282,0,0,0,0,0,9
E000507,C011,A0380,1,0,0,0,0,4
E000508,C011,A0264,1,1,1,0,0,52
E000509,C011,A0394,1,0,1,0,0,23
E000510,C011,A0313,1,1,1,1,0,83
E000511,C011,A0189,0,0,0,0,0,0
E000512,C011,A0290,1,0,0,0,0,8
E000513,C011,A0186,0,0,0,0,0,0
E000514,C011,A0396,1,0,0,0,0,22
E000515,C011,A0096,1,0,1,0,0,27
E000516,C011,A0019,1,0,0,0,0,15
E000517,C011,A0068,0,0,0,0,0,2
E000518,C011,A0147,0,0,0,0,0,0
E000519,C011,A0227,0,0,0,0,0,5
E000520,C011,A0336,1,0,1,0,0,25
E000521,C011,A0342,1,1,0,0,0,36
E000522,C011,A0354,0,0,0,0,0,1
E000523,C011,A0215,0,0,0,0,0,1
E000524,C011,A0325,0,0,0,0,0,0
E000525,C011,A0025,0,0,0,0,0,1
E000526,C011,A0047,0,0,0,0,0,0
E000527,C011,A0069,0,0,0,0,0,0
E000528,C011,A0369,1,0,1,1,0,49
E000529,C011,A0081,1,0,0,0,0,16
E000530,C011,A0153,1,0,0,0,0,6
E000531,C011,A0035,0,0,0,0,0,0
E000532,C011,A0132,0,0,0,0,0,12
E000533,C011,A0288,1,1,0,0,0,27
E000534,C011,A0188,0,0,0,0,0,0
E000535,C011,A0131,0,0,0,0,0,0
E000536,C011,A0062,1,0,0,0,0,11
E000537,C011,A0075,1,0,0,0,0,9
E000538,C011,A0061,1,0,0,0,0,14
E000539,C011,A0146,1,0,1,0,0,38
E000540,C011,A0050,1,0,1,1,1,78
E000541,C011,A0124,0,0,0,0,0,9
E000542,C011,A0041,1,1,1,1,0,91
E000543,C011,A0268,0,0,0,0,0,0
E000544,C011,A0322,1,0,0,0,0,7
E000545,C011,A0234,0,0,0,0,0,4
E000546,C011,A0387,1,0,1,0,0,26
E000547,C011,A0094,0,0,0,0,0,0
E000548,C011,A0295,1,0,1,0,0,37
E000549,C011,A0388,1,1,0,0,0,33
E000550,C011,A0112,0,0,0,0,0,0
E000551,C011,A0223,1,1,0,0,0,27
E000552,C011,A0349,1,0,0,0,0,3
E000553,C011,A0333,0,0,0,0,0,0
E000554,C011,A0247,1,1,0,0,0,32
E000555,C011,A0209,1,0,1,0,0,26
E000556,C011,A0056,1,1,0,0,0,36
E000557,C011,A0343,1,1,1,0,0,56
E000558,C012,A0104,0,0,0,0,0,2
E000559,C012,A0161,0,0,0,0,0,0
E000560,C012,A0144,1,0,1,0,0,34
E000561,C012,A0303,1,1,0,1,1,84
E000562,C012,A0061,0,0,0,0,0,0
E000563,C012,A0285,1,1,0,0,0,33
E000564,C012,A0080,1,0,0,0,0,14
E000565,C012,A0247,0,0,0,0,0,0
E000566,C012,A0327,1,0,0,0,0,7
E000567,C012,A0178,0,0,0,0,0,5
E000568,C012,A0316,0,0,0,0,0,0
E000569,C012,A0060,0,0,0,0,0,0
E000570,C012,A0254,0,0,0,0,0,1
E000571,C012,A0124,1,1,0,0,0,33
E000572,C012,A0335,1,0,1,1,0,54
E000573,C012,A0180,0,0,0,0,0,0
E000574,C012,A0217,1,0,0,0,0,16
E000575,C012,A0201,1,1,1,1,0,83
E000576,C012,A0271,0,0,0,0,0,9
E000577,C012,A0007,1,0,0,0,0,23
E000578,C012,A0173,1,1,1,1,0,77
E000579,C012,A0170,0,0,0,0,0,15
E000580,C012,A0302,0,0,0,0,0,5
E000581,C012,A0210,1,1,0,0,0,36
E000582,C012,A0195,1,1,0,1,0,58
E000583,C012,A0251,1,0,1,0,0,34
E000584,C012,A0224,0,0,0,0,0,0
E000585,C012,A0351,1,1,0,1,0,53
E000586,C012,A0174,1,0,1,1,0,60
E000587,C012,A0139,1,0,0,0,0,5
E000588,C012,A0340,0,0,0,0,0,6
E000589,C012,A0105,1,1,0,1,0,63
E000590,C013,A0298,0,0,0,0,0,0
E000591,C013,A0197,1,1,0,0,0,44
E000592,C013,A0365,1,0,0,0,0,4
E000593,C013,A0136,1,1,0,1,0,53
E000594,C013,A0307,0,0,0,0,0,0
E000595,C013,A0272,0,0,0,0,0,0
E000596,C013,A0273,1,0,0,0,0,2
E000597,C013,A0226,1,1,0,0,0,34
E000598,C013,A0235,0,0,0,0,0,2
E000599,C013,A0354,1,0,0,0,0,12
E000600,C013,A0368,1,0,0,0,0,7
E000601,C013,A0065,1,1,0,0,0,36
E000602,C013,A0385,0,0,0,0,0,0
E000603,C013,A0078,1,1,0,1,0,62
