activity_id,activity_date,advisor_id,rm_id,activity_type,product_discussed,asset_class_discussed,engagement_score,next_step_required,completed_followup,days_to_followup,meeting_duration_minutes
AC000098,2026-01-08,A0343,RM004,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,74,Yes,Yes,8.0,77
AC000099,2025-12-26,A0050,RM015,Intro Call,Value-Add Real Estate Fund IV,Real Estate,33,No,No,,34
AC000100,2025-10-20,A0142,RM013,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,76,Yes,Yes,7.0,27
AC000101,2025-07-02,A0023,RM001,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,82,Yes,Yes,17.0,34
AC000102,2026-03-06,A0016,RM002,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,86,Yes,Yes,4.0,35
AC000103,2025-10-19,A0398,RM007,In-person Meeting,Opportunistic Credit Fund II,Private Credit,94,Yes,Yes,28.0,93
AC000104,2025-08-02,A0197,RM010,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,78,No,No,,47
AC000105,2025-09-05,A0138,RM016,Follow-up Call,Global Infrastructure Partners IV,Infrastructure,71,Yes,No,29.0,32
AC000106,2026-04-12,A0104,RM011,Due Diligence Meeting,Senior Direct Lending Fund VI,Private Credit,100,Yes,Yes,19.0,61
AC000107,2026-04-23,A0396,RM016,Follow-up Call,Growth Equity Partners III,Private Equity,64,Yes,Yes,4.0,34
AC000108,2025-06-02,A0096,RM010,Webinar,Global Infrastructure Partners IV,Infrastructure,69,Yes,Yes,11.0,53
AC000109,2025-12-20,A0295,RM009,Due Diligence Meeting,Private Equity Buyout Fund VII,Private Equity,68,Yes,Yes,23.0,52
AC000110,2025-11-22,A0107,RM004,In-person Meeting,Value-Add Real Estate Fund IV,Real Estate,81,No,No,,81
AC000111,2026-02-13,A0029,RM002,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,78,No,No,,74
AC000112,2025-06-27,A0276,RM005,Due Diligence Meeting,Growth Equity Partners III,Private Equity,99,Yes,Yes,10.0,75
AC000113,2026-01-12,A0001,RM006,Intro Call,Value-Add Real Estate Fund IV,Real Estate,39,No,No,,54
AC000114,2025-08-09,A0276,RM005,Portfolio Review,Opportunistic Credit Fund II,Private Credit,85,No,No,,78
AC000115,2025-11-30,A0095,RM003,Portfolio Review,Opportunistic Credit Fund II,Private Credit,77,Yes,Yes,25.0,98
AC000116,2025-12-23,A0305,RM007,Follow-up Call,Direct Lending Income Fund V,Private Credit,66,Yes,Yes,22.0,44
AC000117,2025-05-04,A0314,RM016,Product Education,Global Infrastructure Partners IV,Infrastructure,42,Yes,Yes,18.0,22
AC000118,2025-10-27,A0294,RM012,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,61,Yes,Yes,13.0,39
AC000119,2025-10-03,A0013,RM011,Intro Call,Real Estate Income Fund II,Real Estate,43,Yes,No,5.0,40
AC000120,2025-06-11,A0285,RM011,Follow-up Call,Direct Lending Income Fund V,Private Credit,55,Yes,No,22.0,25
AC000121,2025-11-20,A0398,RM007,Webinar,Global Infrastructure Partners IV,Infrastructure,67,Yes,Yes,18.0,58
AC000122,2026-02-13,A0093,RM012,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,66,Yes,Yes,9.0,67
AC000123,2025-07-06,A0103,RM005,Intro Call,Private Equity Buyout Fund VII,Private Equity,36,Yes,Yes,20.0,42
AC000124,2026-04-17,A0330,RM007,Intro Call,Real Estate Income Fund II,Real Estate,53,Yes,No,5.0,30
AC000125,2025-06-23,A0058,RM007,Webinar,Growth Equity Partners III,Private Equity,76,Yes,No,7.0,51
AC000126,2025-07-23,A0268,RM007,Product Education,Direct Lending Income Fund V,Private Credit,50,No,No,,28
AC000127,2025-10-16,A0307,RM014,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,56,No,No,,73
AC000128,2025-05-26,A0019,RM006,Due Diligence Meeting,Value-Add Real Estate Fund IV,Real Estate,70,Yes,Yes,8.0,78
AC000129,2025-07-24,A0222,RM010,Webinar,Senior Direct Lending Fund VI,Private Credit,63,Yes,Yes,2.0,39
AC000130,2025-12-04,A0231,RM003,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,53,Yes,Yes,8.0,43
AC000131,2025-06-05,A0115,RM012,Intro Call,Growth Equity Partners III,Private Equity,77,Yes,Yes,28.0,29
AC000132,2025-09-21,A0347,RM003,Intro Call,Global Infrastructure Partners IV,Infrastructure,30,No,No,,52
AC000133,2025-06-23,A0059,RM002,Follow-up Call,Direct Lending Income Fund V,Private Credit,39,No,No,,36
AC000134,2025-07-01,A0142,RM013,Intro Call,Real Estate Income Fund II,Real Estate,52,No,No,,33
AC000135,2026-04-24,A0342,RM003,Due Diligence Meeting,Direct Lending Income Fund V,Private Credit,60,Yes,No,11.0,74
AC000136,2025-11-26,A0071,RM003,Intro Call,Core Infrastructure Income Fund III,Infrastructure,39,No,No,,61
AC000137,2025-08-17,A0333,RM006,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,35,No,No,,42
AC000138,2025-10-04,A0031,RM010,Webinar,Opportunistic Real Estate Fund VI,Real Estate,64,Yes,Yes,19.0,48
AC000139,2025-06-20,A0196,RM009,In-person Meeting,Opportunistic Credit Fund II,Private Credit,94,Yes,Yes,9.0,55
AC000140,2025-08-29,A0030,RM009,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,62,No,No,,44
AC000141,2026-01-24,A0276,RM005,Webinar,Opportunistic Credit Fund II,Private Credit,66,Yes,Yes,15.0,52
AC000142,2025-05-13,A0323,RM016,Product Education,Value-Add Real Estate Fund IV,Real Estate,69,Yes,Yes,9.0,34
AC000143,2025-07-10,A0342,RM003,Webinar,Opportunistic Real Estate Fund VI,Real Estate,53,Yes,Yes,9.0,45
AC000144,2025-12-07,A0396,RM016,Intro Call,Real Estate Income Fund II,Real Estate,43,Yes,No,6.0,26
AC000145,2026-04-12,A0273,RM012,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,74,Yes,Yes,26.0,42
AC000146,2026-03-22,A0312,RM009,Follow-up Call,Direct Lending Income Fund V,Private Credit,55,Yes,Yes,28.0,33
AC000147,2025-05-24,A0200,RM007,Webinar,Global Infrastructure Partners IV,Infrastructure,69,No,No,,64
AC000148,2025-06-28,A0366,RM014,Product Education,Real Estate Income Fund II,Real Estate,77,Yes,Yes,5.0,36
AC000149,2025-12-18,A0259,RM007,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,70,Yes,Yes,5.0,10
AC000150,2025-11-23,A0350,RM007,Follow-up Call,Real Estate Income Fund II,Real Estate,53,Yes,Yes,15.0,27
AC000151,2025-11-01,A0090,RM014,Product Education,Core Infrastructure Income Fund III,Infrastructure,78,No,No,,46
AC000152,2025-07-19,A0198,RM014,Intro Call,Private Equity Buyout Fund VII,Private Equity,61,No,No,,39
AC000153,2026-03-06,A0296,RM001,Intro Call,Direct Lending Income Fund V,Private Credit,58,Yes,No,23.0,23
AC000154,2025-06-28,A0074,RM008,Webinar,Growth Equity Partners III,Private Equity,52,Yes,No,13.0,54
AC000155,2025-07-11,A0077,RM005,Due Diligence Meeting,Growth Equity Partners III,Private Equity,65,No,No,,103
AC000156,2026-03-03,A0396,RM016,Follow-up Call,Growth Equity Partners III,Private Equity,57,No,No,,46
AC000157,2025-10-14,A0174,RM016,Intro Call,Value-Add Real Estate Fund IV,Real Estate,52,No,No,,28
AC000158,2025-05-16,A0065,RM005,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,100,No,No,,90
AC000159,2025-10-23,A0127,RM014,Webinar,Opportunistic Credit Fund II,Private Credit,65,Yes,Yes,25.0,59
AC000160,2025-08-07,A0155,RM011,Webinar,Senior Direct Lending Fund VI,Private Credit,47,Yes,Yes,2.0,55
AC000161,2026-02-11,A0251,RM007,Portfolio Review,Value-Add Real Estate Fund IV,Real Estate,55,No,No,,50
AC000162,2025-11-19,A0370,RM009,Follow-up Call,Growth Equity Partners III,Private Equity,55,Yes,Yes,2.0,34
AC000163,2026-04-06,A0398,RM007,In-person Meeting,Direct Lending Income Fund V,Private Credit,100,Yes,Yes,29.0,85
AC000164,2025-07-09,A0263,RM014,Intro Call,Core Infrastructure Income Fund III,Infrastructure,28,Yes,No,7.0,40
AC000165,2025-05-29,A0285,RM011,Webinar,Real Estate Income Fund II,Real Estate,53,No,No,,68
AC000166,2026-01-26,A0121,RM010,Portfolio Review,Global Infrastructure Partners IV,Infrastructure,82,Yes,Yes,14.0,39
AC000167,2025-05-22,A0343,RM004,Webinar,Value-Add Real Estate Fund IV,Real Estate,57,No,No,,47
AC000168,2025-10-11,A0079,RM015,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,74,Yes,No,9.0,77
AC000169,2025-06-17,A0036,RM008,Follow-up Call,Opportunistic Credit Fund II,Private Credit,57,No,No,,40
AC000170,2025-08-05,A0391,RM012,Follow-up Call,Growth Equity Partners III,Private Equity,38,No,No,,32
AC000171,2025-12-11,A0343,RM004,Product Education,Real Estate Income Fund II,Real Estate,73,Yes,Yes,26.0,57
AC000172,2026-01-11,A0115,RM012,Intro Call,Core Infrastructure Income Fund III,Infrastructure,61,Yes,No,12.0,61
AC000173,2025-05-13,A0275,RM005,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,29,No,No,,33
AC000174,2026-02-19,A0186,RM006,Follow-up Call,Growth Equity Partners III,Private Equity,54,No,No,,22
AC000175,2025-09-21,A0123,RM004,Webinar,Real Estate Income Fund II,Real Estate,52,Yes,Yes,22.0,34
AC000176,2025-10-13,A0108,RM008,In-person Meeting,Direct Lending Income Fund V,Private Credit,65,No,No,,75
AC000177,2025-07-25,A0048,RM007,Due Diligence Meeting,Opportunistic Credit Fund II,Private Credit,78,Yes,Yes,11.0,61
AC000178,2026-02-12,A0220,RM015,In-person Meeting,Real Estate Income Fund II,Real Estate,81,Yes,Yes,8.0,76
AC000179,2026-02-25,A0180,RM008,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,79,No,No,,36
AC000180,2026-01-30,A0203,RM006,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,53,Yes,Yes,6.0,58
AC000181,2026-03-22,A0078,RM016,In-person Meeting,Growth Equity Partners III,Private Equity,84,Yes,Yes,21.0,41
AC000182,2025-07-13,A0375,RM010,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,63,Yes,Yes,8.0,110
AC000183,2025-06-16,A0258,RM009,Intro Call,Real Estate Income Fund II,Real Estate,47,No,No,,20
AC000184,2025-06-05,A0359,RM013,Portfolio Review,Opportunistic Real Estate Fund VI,Real Estate,57,Yes,Yes,26.0,106
AC000185,2025-10-13,A0038,RM012,Product Education,Value-Add Real Estate Fund IV,Real Estate,83,No,No,,25
AC000186,2025-08-18,A0251,RM007,Intro Call,Global Infrastructure Partners IV,Infrastructure,37,Yes,Yes,25.0,16
AC000187,2025-05-10,A0342,RM003,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,60,Yes,Yes,27.0,100
AC000188,2026-04-11,A0127,RM014,Portfolio Review,Real Estate Income Fund II,Real Estate,80,No,No,,61
AC000189,2025-07-02,A0071,RM003,Intro Call,Opportunistic Credit Fund II,Private Credit,41,Yes,Yes,19.0,56
AC000190,2025-05-07,A0100,RM006,Due Diligence Meeting,Direct Lending Income Fund V,Private Credit,91,No,No,,111
AC000191,2026-04-28,A0102,RM002,In-person Meeting,Real Estate Income Fund II,Real Estate,74,Yes,Yes,3.0,95
AC000192,2025-05-24,A0180,RM008,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,86,No,No,,18
AC000193,2026-03-28,A0124,RM007,Webinar,Growth Equity Partners III,Private Equity,74,Yes,Yes,15.0,45
AC000194,2025-07-03,A0102,RM002,Product Education,Global Infrastructure Partners IV,Infrastructure,61,Yes,Yes,27.0,20
AC000195,2025-10-31,A0261,RM005,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,66,Yes,No,22.0,35
AC000196,2025-09-29,A0024,RM008,Intro Call,Value-Add Real Estate Fund IV,Real Estate,37,Yes,Yes,15.0,31
AC000197,2025-09-15,A0130,RM009,Portfolio Review,Opportunistic Real Estate Fund VI,Real Estate,79,Yes,Yes,17.0,79
AC000198,2026-04-05,A0279,RM008,Portfolio Review,Opportunistic Real Estate Fund VI,Real Estate,39,No,No,,72
AC000199,2025-11-22,A0062,RM016,Intro Call,Growth Equity Partners III,Private Equity,74,No,No,,16
AC000200,2025-11-04,A0082,RM003,Intro Call,Real Estate Income Fund II,Real Estate,51,Yes,Yes,5.0,41
AC000201,2026-02-25,A0073,RM002,Webinar,Direct Lending Income Fund V,Private Credit,44,No,No,,44
AC000202,2025-10-11,A0001,RM006,Intro Call,Private Equity Buyout Fund VII,Private Equity,49,Yes,Yes,28.0,44
AC000203,2026-02-08,A0189,RM015,Follow-up Call,Opportunistic Credit Fund II,Private Credit,47,No,No,,46
AC000204,2025-09-29,A0019,RM006,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,67,Yes,Yes,21.0,87
AC000205,2025-05-29,A0102,RM002,Intro Call,Direct Lending Income Fund V,Private Credit,48,Yes,Yes,9.0,13
AC000206,2025-07-23,A0399,RM006,Portfolio Review,Global Infrastructure Partners IV,Infrastructure,48,No,No,,82
AC000207,2025-06-17,A0368,RM008,Intro Call,Core Infrastructure Income Fund III,Infrastructure,60,Yes,Yes,29.0,23
AC000208,2025-05-01,A0078,RM016,Portfolio Review,Real Estate Income Fund II,Real Estate,98,Yes,Yes,6.0,69
AC000209,2025-06-04,A0118,RM013,Intro Call,Value-Add Real Estate Fund IV,Real Estate,42,Yes,No,22.0,27
AC000210,2026-02-19,A0186,RM006,Follow-up Call,Growth Equity Partners III,Private Equity,79,No,No,,36
AC000211,2026-04-22,A0341,RM002,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,67,Yes,Yes,25.0,39
AC000212,2025-10-01,A0326,RM014,Follow-up Call,Opportunistic Credit Fund II,Private Credit,44,No,No,,30
AC000213,2026-01-21,A0046,RM009,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,79,Yes,No,8.0,27
AC000214,2025-09-09,A0045,RM016,Webinar,Growth Equity Partners III,Private Equity,57,Yes,Yes,19.0,56
AC000215,2025-07-18,A0166,RM013,Webinar,Direct Lending Income Fund V,Private Credit,71,Yes,Yes,3.0,19
AC000216,2026-01-20,A0345,RM016,In-person Meeting,Growth Equity Partners III,Private Equity,61,No,No,,33
AC000217,2025-12-30,A0349,RM014,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,84,Yes,Yes,5.0,34
AC000218,2025-08-23,A0037,RM013,Portfolio Review,Opportunistic Credit Fund II,Private Credit,70,Yes,No,6.0,47
AC000219,2025-11-19,A0231,RM003,Due Diligence Meeting,Real Estate Income Fund II,Real Estate,72,Yes,Yes,5.0,20
AC000220,2026-01-12,A0055,RM006,Intro Call,Real Estate Income Fund II,Real Estate,35,No,No,,30
AC000221,2026-03-24,A0278,RM011,Follow-up Call,Global Infrastructure Partners IV,Infrastructure,64,Yes,Yes,20.0,33
AC000222,2026-01-31,A0367,RM002,Webinar,Growth Equity Partners III,Private Equity,57,No,No,,53
AC000223,2025-12-25,A0183,RM014,Webinar,Senior Direct Lending Fund VI,Private Credit,42,No,No,,55
AC000224,2026-02-22,A0031,RM010,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,71,Yes,Yes,29.0,33
AC000225,2025-07-27,A0233,RM004,Portfolio Review,Direct Lending Income Fund V,Private Credit,60,No,No,,58
AC000226,2025-11-24,A0160,RM002,Portfolio Review,Real Estate Income Fund II,Real Estate,66,Yes,Yes,9.0,71
AC000227,2026-02-16,A0327,RM004,Follow-up Call,Growth Equity Partners III,Private Equity,68,Yes,Yes,14.0,30
AC000228,2026-03-23,A0130,RM009,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,80,Yes,Yes,2.0,64
AC000229,2025-11-23,A0347,RM003,Intro Call,Real Estate Income Fund II,Real Estate,46,No,No,,36
