opportunity_id,advisor_id,rm_id,fund_id,created_date,current_stage,expected_commitment,actual_commitment,close_date,days_to_close,probability,source_campaign_id,loss_reason
O00116,A0312,RM009,F010,2025-08-16,Prospect,20000000,,,,10,,
O00117,A0198,RM014,F003,2025-10-14,Soft Circle,50000000,,,,75,,
O00118,A0264,RM003,F009,2025-08-16,Interested,6750000,,,,25,,
O00119,A0149,RM014,F004,2025-08-22,Prospect,146250000,,,,10,C018,
O00120,A0021,RM010,F004,2025-10-26,Interested,87500000,,,,25,,
O00121,A0241,RM014,F010,2025-08-02,Due Diligence,4250000,,,,50,,
O00122,A0115,RM012,F008,2026-01-07,Due Diligence,220500000,,,,50,C008,
O00123,A0215,RM005,F001,2025-09-14,Interested,86500000,,,,25,,
O00124,A0258,RM009,F006,2026-01-07,Lost,3000000,,2026-05-23,136.0,0,C009,Competing Manager Selected
O00125,A0178,RM004,F009,2026-04-14,Prospect,30250000,,,,10,,
O00126,A0062,RM016,F002,2025-07-09,Soft Circle,18750000,,,,75,,
O00127,A0320,RM009,F008,2025-07-08,Due Diligence,2500000,,,,50,C001,
O00128,A0067,RM016,F009,2026-02-25,Interested,10250000,,,,25,,
O00129,A0051,RM010,F010,2025-11-28,Due Diligence,51000000,,,,50,,
O00130,A0125,RM013,F008,2026-01-06,Due Diligence,3750000,,,,50,,
O00131,A0023,RM001,F006,2026-03-31,Due Diligence,21000000,,,,50,,
O00132,A0140,RM007,F005,2025-07-15,Due Diligence,1500000,,,,50,,
O00133,A0301,RM012,F005,2025-08-26,Lost,76750000,,2025-09-29,34.0,0,C025,Pricing/Fee Concerns
O00134,A0313,RM013,F008,2025-05-10,Due Diligence,9250000,,,,50,,
O00135,A0180,RM008,F003,2025-12-17,Lost,2000000,,2026-03-11,84.0,0,C017,Timing - Deferred
O00136,A0071,RM003,F010,2026-01-06,Committed,41500000,37500000.0,2026-03-19,72.0,100,,
O00137,A0389,RM004,F006,2025-12-07,Due Diligence,2500000,,,,50,C018,
O00138,A0327,RM004,F005,2025-05-14,Prospect,178500000,,,,10,,
O00139,A0003,RM001,F008,2025-09-04,Lost,4750000,,2026-03-09,186.0,0,,Competing Manager Selected
O00140,A0239,RM003,F006,2026-02-08,Committed,74750000,68000000.0,2026-06-28,140.0,100,,
O00141,A0377,RM013,F008,2025-08-25,Committed,2500000,2500000.0,2026-01-21,149.0,100,,
O00142,A0369,RM011,F003,2025-08-18,Due Diligence,19750000,,,,50,,
O00143,A0158,RM007,F004,2026-03-17,Due Diligence,7750000,,,,50,,
O00144,A0241,RM014,F004,2025-08-24,Committed,5750000,5500000.0,2026-03-28,216.0,100,,
O00145,A0243,RM013,F008,2025-09-09,Prospect,8000000,,,,10,,
O00146,A0291,RM003,F004,2026-01-22,Committed,8750000,9000000.0,2026-09-05,226.0,100,C018,
O00147,A0375,RM010,F003,2025-06-09,Prospect,2500000,,,,10,,
O00148,A0185,RM004,F005,2026-01-10,Due Diligence,3250000,,,,50,,
O00149,A0024,RM008,F007,2026-01-11,Interested,5750000,,,,25,,
O00150,A0287,RM006,F006,2025-06-12,Due Diligence,77250000,,,,50,C012,
O00151,A0377,RM013,F002,2025-05-02,Prospect,5000000,,,,10,C015,
O00152,A0347,RM003,F008,2025-07-07,Due Diligence,13250000,,,,50,,
O00153,A0010,RM007,F008,2025-05-20,Interested,2500000,,,,25,C018,
O00154,A0352,RM002,F005,2025-05-12,Lost,76250000,,2025-11-06,178.0,0,,Timing - Deferred
O00155,A0057,RM015,F009,2026-02-08,Committed,11250000,10250000.0,2026-09-27,231.0,100,,
O00156,A0392,RM009,F002,2026-03-03,Due Diligence,5000000,,,,50,,
O00157,A0295,RM009,F005,2026-01-19,Lost,26250000,,2026-04-24,95.0,0,C023,Liquidity Mismatch
O00158,A0049,RM011,F009,2025-08-20,Committed,5000000,4250000.0,2025-12-13,115.0,100,C012,
O00159,A0039,RM001,F004,2025-11-09,Interested,79500000,,,,25,,
O00160,A0111,RM006,F010,2025-06-05,Lost,2000000,,2025-11-12,160.0,0,,Pricing/Fee Concerns
O00161,A0091,RM009,F007,2025-11-27,Soft Circle,64250000,,,,75,,
O00162,A0002,RM006,F009,2025-11-03,Lost,7750000,,2026-03-24,141.0,0,C001,Competing Manager Selected
O00163,A0354,RM014,F007,2026-02-27,Due Diligence,20000000,,,,50,,
O00164,A0049,RM011,F002,2025-05-15,Committed,7750000,7500000.0,2025-11-17,186.0,100,,
O00165,A0397,RM013,F003,2026-02-05,Prospect,34750000,,,,10,C010,
O00166,A0104,RM011,F010,2026-04-14,Due Diligence,8000000,,,,50,,
O00167,A0225,RM016,F007,2025-09-11,Prospect,5000000,,,,10,C002,
O00168,A0277,RM006,F006,2025-06-24,Prospect,10250000,,,,10,C008,
O00169,A0120,RM009,F005,2025-08-15,Interested,7750000,,,,25,,
O00170,A0180,RM008,F005,2025-05-31,Due Diligence,1500000,,,,50,C011,
O00171,A0306,RM009,F001,2025-06-27,Due Diligence,30750000,,,,50,,
O00172,A0026,RM011,F008,2026-02-27,Interested,13500000,,,,25,C003,
O00173,A0144,RM007,F010,2025-11-23,Interested,71750000,,,,25,,
O00174,A0313,RM013,F008,2025-09-03,Due Diligence,18500000,,,,50,,
O00175,A0131,RM006,F004,2026-01-16,Soft Circle,6250000,,,,75,C018,
O00176,A0023,RM001,F005,2025-12-29,Lost,10250000,,2026-07-10,193.0,0,C012,Allocation Already Filled
O00177,A0073,RM002,F008,2026-01-01,Due Diligence,34250000,,,,50,,
O00178,A0268,RM007,F009,2025-06-05,Lost,5000000,,2025-10-24,141.0,0,,Liquidity Mismatch
O00179,A0386,RM003,F005,2026-03-22,Lost,87250000,,2026-05-19,58.0,0,C019,Allocation Already Filled
O00180,A0091,RM009,F004,2025-05-09,Lost,48250000,,2025-07-08,60.0,0,,Timing - Deferred
O00181,A0203,RM006,F003,2025-07-28,Interested,22000000,,,,25,,
O00182,A0095,RM003,F007,2025-06-03,Prospect,70000000,,,,10,,
O00183,A0367,RM002,F007,2025-08-19,Prospect,38500000,,,,10,C021,
O00184,A0358,RM012,F010,2026-03-22,Interested,3500000,,,,25,,
O00185,A0154,RM002,F006,2026-03-05,Committed,8250000,8750000.0,2026-07-11,128.0,100,,
O00186,A0015,RM005,F010,2025-05-21,Prospect,10750000,,,,10,,
O00187,A0239,RM003,F004,2025-09-21,Due Diligence,62250000,,,,50,,
O00188,A0248,RM013,F003,2025-07-08,Soft Circle,9750000,,,,75,C001,
O00189,A0243,RM013,F002,2026-03-20,Due Diligence,7250000,,,,50,C022,
O00190,A0118,RM013,F005,2025-10-11,Due Diligence,10250000,,,,50,C005,
O00191,A0009,RM010,F003,2026-03-27,Interested,56000000,,,,25,,
O00192,A0013,RM011,F007,2026-02-06,Soft Circle,5000000,,,,75,,
O00193,A0309,RM008,F008,2026-01-19,Soft Circle,15000000,,,,75,,
O00194,A0209,RM010,F007,2025-11-12,Committed,71250000,74500000.0,2026-03-05,113.0,100,,
O00195,A0107,RM004,F002,2026-02-27,Soft Circle,37500000,,,,75,C023,
O00196,A0364,RM003,F004,2025-12-14,Soft Circle,14750000,,,,75,C025,
O00197,A0352,RM002,F003,2026-02-14,Lost,41500000,,2026-07-17,153.0,0,,Pricing/Fee Concerns
O00198,A0324,RM008,F003,2025-05-02,Interested,78250000,,,,25,,
O00199,A0245,RM010,F003,2025-09-02,Lost,10500000,,2025-11-05,64.0,0,,Timing - Deferred
O00200,A0242,RM015,F010,2026-03-29,Interested,5000000,,,,25,,
O00201,A0209,RM010,F007,2025-12-03,Interested,48750000,,,,25,C012,
O00202,A0071,RM003,F002,2026-04-11,Committed,29750000,31000000.0,2026-07-26,106.0,100,,
O00203,A0290,RM015,F010,2025-06-09,Prospect,50500000,,,,10,C021,
O00204,A0205,RM014,F004,2026-02-05,Due Diligence,37000000,,,,50,,
O00205,A0214,RM015,F001,2025-09-23,Lost,33500000,,2025-11-19,57.0,0,,Allocation Already Filled
O00206,A0273,RM012,F001,2025-08-11,Prospect,23500000,,,,10,,
O00207,A0148,RM011,F007,2026-03-04,Soft Circle,21500000,,,,75,,
O00208,A0280,RM004,F010,2025-12-04,Committed,64500000,60250000.0,2026-06-23,201.0,100,C028,
O00209,A0098,RM009,F004,2026-04-03,Prospect,7250000,,,,10,C018,
O00210,A0345,RM016,F009,2025-12-14,Lost,44750000,,2026-04-01,108.0,0,C006,Timing - Deferred
O00211,A0395,RM002,F006,2026-03-17,Due Diligence,13750000,,,,50,,
O00212,A0233,RM004,F004,2026-01-25,Due Diligence,12250000,,,,50,,
O00213,A0151,RM003,F004,2026-01-04,Lost,4500000,,2026-04-12,98.0,0,,Client Risk Appetite
O00214,A0115,RM012,F008,2025-05-22,Soft Circle,173750000,,,,75,,
O00215,A0356,RM002,F007,2025-12-14,Prospect,5000000,,,,10,C026,
O00216,A0129,RM011,F007,2025-09-15,Interested,39750000,,,,25,,
O00217,A0324,RM008,F006,2025-05-17,Lost,78250000,,2025-11-09,176.0,0,C004,Pricing/Fee Concerns
O00218,A0162,RM015,F006,2025-07-11,Lost,4000000,,2025-08-09,29.0,0,,Client Risk Appetite
O00219,A0351,RM007,F002,2025-11-18,Prospect,5000000,,,,10,,
O00220,A0170,RM012,F003,2025-09-17,Due Diligence,16000000,,,,50,,
O00221,A0226,RM006,F001,2026-03-13,Due Diligence,5250000,,,,50,,
O00222,A0048,RM007,F008,2025-07-09,Lost,144750000,,2025-12-21,165.0,0,,Liquidity Mismatch
O00223,A0390,RM001,F004,2026-04-06,Interested,58250000,,,,25,,
O00224,A0220,RM015,F010,2025-06-10,Committed,7000000,7000000.0,2025-11-24,167.0,100,C006,
O00225,A0244,RM007,F007,2025-11-11,Prospect,5000000,,,,10,C024,
O00226,A0049,RM011,F008,2025-08-14,Soft Circle,2750000,,,,75,,
O00227,A0274,RM001,F003,2025-05-19,Prospect,2750000,,,,10,,
O00228,A0168,RM013,F001,2025-06-17,Soft Circle,5000000,,,,75,,
O00229,A0167,RM008,F001,2026-03-07,Prospect,38750000,,,,10,C009,
O00230,A0187,RM009,F004,2025-11-06,Committed,210000000,190000000.0,2026-06-25,231.0,100,C006,
O00231,A0211,RM006,F002,2025-09-16,Committed,62500000,66750000.0,2026-05-05,231.0,100,,
O00232,A0319,RM014,F007,2025-07-30,Interested,147500000,,,,25,C015,
O00233,A0135,RM008,F002,2025-08-03,Lost,216250000,,2025-11-29,118.0,0,C021,Liquidity Mismatch
O00234,A0351,RM007,F009,2025-12-25,Prospect,13250000,,,,10,,
O00235,A0043,RM003,F006,2026-03-16,Soft Circle,47500000,,,,75,,
O00236,A0209,RM010,F003,2026-02-21,Prospect,50250000,,,,10,,
O00237,A0269,RM008,F008,2025-06-15,Interested,19250000,,,,25,,
O00238,A0388,RM012,F005,2025-10-06,Committed,1250000,1250000.0,2026-04-30,206.0,100,,
O00239,A0157,RM016,F003,2025-10-03,Interested,8250000,,,,25,C014,
O00240,A0269,RM008,F004,2026-04-08,Lost,24750000,,2026-07-28,111.0,0,C025,Liquidity Mismatch
O00241,A0312,RM009,F004,2025-05-09,Prospect,13750000,,,,10,C015,
O00242,A0331,RM013,F002,2025-10-17,Soft Circle,50500000,,,,75,C005,
O00243,A0365,RM011,F006,2025-06-07,Interested,55000000,,,,25,,
O00244,A0137,RM008,F005,2025-08-06,Prospect,3500000,,,,10,C014,
O00245,A0336,RM005,F007,2026-02-24,Lost,10250000,,2026-08-11,168.0,0,,Pricing/Fee Concerns
O00246,A0382,RM010,F009,2025-10-20,Prospect,54500000,,,,10,,
O00247,A0186,RM006,F003,2026-04-14,Due Diligence,63750000,,,,50,C027,
O00248,A0274,RM001,F003,2026-01-16,Prospect,3250000,,,,10,,
O00249,A0128,RM002,F003,2025-09-06,Prospect,1500000,,,,10,C015,
O00250,A0101,RM005,F001,2025-07-02,Soft Circle,5000000,,,,75,,
O00251,A0111,RM006,F005,2025-12-17,Due Diligence,1500000,,,,50,C006,
O00252,A0020,RM014,F002,2025-07-08,Prospect,17000000,,,,10,,
O00253,A0227,RM015,F006,2026-02-27,Due Diligence,3250000,,,,50,C003,
O00254,A0343,RM004,F003,2025-12-30,Due Diligence,158500000,,,,50,,
O00255,A0114,RM016,F005,2025-07-04,Prospect,166750000,,,,10,C004,
O00256,A0012,RM012,F003,2026-04-05,Interested,2750000,,,,25,,
O00257,A0113,RM003,F004,2025-07-09,Lost,12500000,,2025-08-18,40.0,0,,Pricing/Fee Concerns
O00258,A0306,RM009,F009,2025-06-08,Due Diligence,30000000,,,,50,,
O00259,A0177,RM014,F004,2025-09-18,Lost,3750000,,2025-12-21,94.0,0,C004,Timing - Deferred
O00260,A0304,RM016,F008,2025-05-13,Prospect,2500000,,,,10,,
O00261,A0086,RM003,F006,2025-06-26,Prospect,39250000,,,,10,C011,
O00262,A0254,RM002,F002,2025-08-14,Prospect,8250000,,,,10,,
O00263,A0291,RM003,F009,2026-02-26,Interested,5000000,,,,25,,
O00264,A0322,RM006,F004,2026-01-14,Prospect,2500000,,,,10,,
O00265,A0271,RM014,F006,2025-08-28,Lost,2500000,,2026-02-17,173.0,0,,Timing - Deferred
O00266,A0363,RM012,F010,2025-09-17,Due Diligence,39000000,,,,50,,
O00267,A0049,RM011,F002,2025-10-26,Prospect,8750000,,,,10,C002,
O00268,A0215,RM005,F009,2026-04-08,Due Diligence,222250000,,,,50,,
O00269,A0178,RM004,F006,2025-11-21,Prospect,75000000,,,,10,,
O00270,A0400,RM006,F004,2025-11-20,Interested,308000000,,,,25,,
O00271,A0215,RM005,F006,2026-02-24,Committed,112250000,116000000.0,2026-08-01,158.0,100,,
O00272,A0272,RM012,F008,2025-07-30,Prospect,14250000,,,,10,,
O00273,A0366,RM014,F004,2025-07-12,Prospect,3500000,,,,10,C026,
O00274,A0056,RM011,F007,2025-07-04,Prospect,43000000,,,,10,,
O00275,A0134,RM006,F007,2025-12-03,Soft Circle,5000000,,,,75,,
O00276,A0128,RM002,F003,2025-11-14,Lost,1250000,,2026-04-08,145.0,0,,Liquidity Mismatch
O00277,A0045,RM016,F009,2025-11-10,Prospect,13500000,,,,10,,
O00278,A0219,RM011,F003,2026-01-03,Prospect,5750000,,,,10,,
O00279,A0122,RM006,F006,2025-09-13,Soft Circle,31750000,,,,75,,
O00280,A0065,RM005,F005,2025-05-30,Lost,95000000,,2025-09-23,116.0,0,C011,Pricing/Fee Concerns
O00281,A0009,RM010,F001,2026-03-29,Lost,59750000,,2026-06-26,89.0,0,,Competing Manager Selected
O00282,A0010,RM007,F009,2026-01-04,Committed,7250000,7250000.0,2026-05-30,146.0,100,,
O00283,A0154,RM002,F010,2025-08-03,Lost,4750000,,2025-11-06,95.0,0,C007,Competing Manager Selected
O00284,A0240,RM005,F008,2025-06-11,Interested,23000000,,,,25,C003,
O00285,A0083,RM012,F010,2026-03-14,Prospect,2000000,,,,10,,
O00286,A0363,RM012,F002,2026-03-31,Prospect,45000000,,,,10,,
O00287,A0082,RM003,F010,2025-09-26,Interested,1000000,,,,25,,
O00288,A0107,RM004,F006,2026-02-13,Soft Circle,65750000,,,,75,C011,
O00289,A0121,RM010,F001,2026-01-18,Lost,59000000,,2026-04-14,86.0,0,,Liquidity Mismatch
O00290,A0062,RM016,F007,2025-12-23,Due Diligence,95750000,,,,50,C005,
O00291,A0400,RM006,F002,2026-03-10,Committed,78250000,78250000.0,2026-05-10,61.0,100,,
O00292,A0285,RM011,F001,2025-05-19,Prospect,21000000,,,,10,C028,
O00293,A0120,RM009,F005,2025-07-24,Soft Circle,3000000,,,,75,,
O00294,A0389,RM004,F006,2026-02-18,Prospect,2500000,,,,10,,
O00295,A0251,RM007,F008,2026-01-08,Interested,2500000,,,,25,,
O00296,A0305,RM007,F005,2025-12-09,Interested,7250000,,,,25,,
O00297,A0136,RM010,F002,2026-01-01,Due Diligence,11500000,,,,50,C006,
O00298,A0086,RM003,F006,2025-06-03,Committed,27000000,29000000.0,2025-09-01,90.0,100,,
O00299,A0178,RM004,F001,2025-08-12,Soft Circle,98500000,,,,75,,
O00300,A0164,RM001,F006,2026-02-19,Prospect,134250000,,,,10,,
O00301,A0394,RM005,F009,2025-12-21,Interested,5000000,,,,25,,
O00302,A0056,RM011,F004,2025-08-31,Prospect,32000000,,,,10,,
O00303,A0053,RM008,F003,2026-02-16,Lost,15000000,,2026-03-15,27.0,0,,Timing - Deferred
O00304,A0245,RM010,F002,2026-01-04,Committed,11000000,10750000.0,2026-04-25,111.0,100,C002,
O00305,A0220,RM015,F005,2025-11-24,Interested,9750000,,,,25,C016,
O00306,A0214,RM015,F007,2026-02-19,Interested,51500000,,,,25,C024,
O00307,A0163,RM014,F003,2025-09-06,Soft Circle,316250000,,,,75,C013,
O00308,A0143,RM009,F006,2026-03-24,Interested,2500000,,,,25,C018,
O00309,A0034,RM014,F006,2025-11-23,Interested,164250000,,,,25,,
O00310,A0315,RM016,F008,2025-07-31,Prospect,2500000,,,,10,C010,
O00311,A0176,RM003,F002,2025-12-24,Prospect,44500000,,,,10,C006,
O00312,A0357,RM010,F009,2026-02-10,Soft Circle,8000000,,,,75,,
O00313,A0196,RM009,F003,2025-11-26,Prospect,23000000,,,,10,C022,
O00314,A0360,RM013,F003,2025-05-29,Lost,31500000,,2025-08-05,68.0,0,C007,Allocation Already Filled
O00315,A0367,RM002,F007,2025-12-17,Prospect,47000000,,,,10,,
O00316,A0218,RM006,F008,2025-06-12,Committed,6750000,6250000.0,2025-12-30,201.0,100,,
